1:199 14 178 151 161 260 250 99 5 20
0:195 138 33 274 51 271 133 41 157 55
1:199 14 178 151 161 260 250 99 5 20
1:117 152 242 231 273 278 268 118 145 1
1:117 152 242 231 273 278 268 118 145 1
0:162 113 187 207 266 93 272 27 230 35
1:117 152 242 231 273 278 268 118 145 1
1:117 152 242 231 273 278 268 118 145 1
0:162 113 187 207 93 266 272 27 230 104
1:100 54 48 258 214 88 182 199 14 161
1:117 152 242 231 273 278 268 118 145 1
0:213 89 232 64 252 117 242 152 30 85
1:213 89 232 64 252 30 85 257 120 0
1:213 89 232 64 252 30 85 257 120 0
1:117 152 242 231 273 278 268 118 145 1
1:151 250 95 81 17 47 73 20 94 183
1:117 152 242 231 273 278 268 118 145 1
0:117 152 242 231 151 273 268 250 1 278
1:162 187 272 266 207 27 104 39 108 93
0:162 187 207 266 272 113 93 27 104 108
1:162 187 272 266 207 27 104 39 108 93
1:100 54 48 258 214 88 182 199 14 161
1:195 138 33 274 51 271 133 41 157 55
0:162 187 266 207 272 27 108 93 104 113
1:213 89 232 64 252 30 85 257 120 0
0:162 187 272 207 266 113 27 93 104 108
0:162 187 272 266 207 27 104 39 93 108
1:117 152 242 231 273 278 268 118 145 1
1:166 238 60 156 171 159 275 169 218 101
0:117 152 242 231 273 278 268 118 145 1
1:117 152 242 231 273 278 268 118 145 1
1:213 89 232 64 252 30 85 257 120 0
0:162 187 207 266 113 272 93 27 104 108
1:213 89 232 64 252 30 85 257 120 0
1:100 54 48 258 214 199 88 14 161 178
1:117 152 242 231 273 278 268 118 145 1
1:213 89 232 64 252 30 85 257 120 0
0:113 162 187 93 207 230 266 272 27 107
0:151 250 113 117 199 14 161 178 95 20
0:162 187 266 272 207 27 93 104 113 108
1:199 14 178 161 151 260 250 99 5 20
0:162 187 272 266 207 27 104 39 108 93
1:213 89 232 64 252 30 85 257 120 0
1:213 89 232 64 252 30 85 257 120 0
0:162 187 207 266 272 27 93 113 108 104
1:100 54 48 258 214 88 182 199 14 161
0:207 162 266 187 113 272 108 93 27 104
1:162 187 207 113 266 272 93 27 104 108
0:151 250 238 166 95 20 60 199 156 73
0:100 54 48 258 214 88 117 199 14 161
1:100 54 48 258 214 88 182 199 14 161
0:162 187 272 266 207 27 104 108 39 93
0:117 152 242 231 273 278 268 118 145 1
0:162 187 272 266 207 27 104 39 108 93
0:162 187 272 266 207 27 104 39 108 93
1:162 187 272 266 207 27 104 39 108 93
1:113 162 187 93 207 230 266 272 27 107
1:195 138 33 274 51 271 133 41 157 55
1:213 89 232 64 252 30 85 257 120 0
1:162 187 272 266 207 27 104 108 93 39
0:117 152 242 231 273 278 268 118 145 1
0:162 187 272 266 207 27 104 93 108 39
0:162 187 272 266 207 27 104 108 39 93
0:162 187 113 207 266 272 93 27 169 104
1:162 187 272 266 207 27 104 39 108 93
1:162 187 272 266 207 27 104 108 39 93
1:213 89 232 64 252 30 85 257 242 120
1:213 89 232 64 252 30 85 257 120 0
1:213 89 232 64 252 30 85 257 120 0
